league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
German Bundesliga,0.15696249212618893,1.1,0.17265874133880785,97,2e-4,135.4595,95,114,136,157,183,10.795805421156365,-3.562448423221072
German Bundesliga,0.15696249212618893,1.15,0.18050686594511725,97,1e-4,136.4611,97,116,136,158,174,10.676670169982392,-3.6960118999409968
Greek Super League,0.26005068186254876,0,0,52,0.9384,42.3666,15,30,42,56,66,6.613287986909369,1.4566732945954832
Greek Super League,0.26005068186254876,0.05,0.01300253409312744,52,0.9215,42.8862,20,30,43,56,71,6.656762036311709,1.3691040704603064
Greek Super League,0.26005068186254876,0.1,0.02600506818625488,52,0.9146,43.5286,21,31,44,56,70,6.578929264783677,1.287656343312053
Greek Super League,0.26005068186254876,0.15000000000000002,0.03900760227938232,52,0.8999,44.0277,17,31,44,57,69,6.605171878123533,1.2069784325226147
Greek Super League,0.26005068186254876,0.2,0.05201013637250976,52,0.8806,44.715,19,32,45,58,69,6.610699292398153,1.1020014188782181
Greek Super League,0.26005068186254876,0.25,0.06501267046563719,52,0.8639,45.1786,19,32,45,58,70,6.601595272812065,1.0332956987068223
Greek Super League,0.26005068186254876,0.30000000000000004,0.07801520455876464,52,0.8414,45.8982,21,33,46,59,69,6.564750288825574,0.9294793756872056
Greek Super League,0.26005068186254876,0.35000000000000003,0.09101773865189207,52,0.8189,46.4435,23,33,46,60,73,6.658456371722009,0.8345027270281533
Greek Super League,0.26005068186254876,0.4,0.10402027274501952,52,0.7989,46.947,24,34,47,60,70,6.555554021503666,0.7707967905420412
Greek Super League,0.26005068186254876,0.45,0.11702280683814695,52,0.7711,47.5931,22,35,48,61,74,6.593123638908328,0.6684085179281853
Greek Super League,0.26005068186254876,0.5,0.13002534093127438,52,0.7445,48.1111,26,35,48,61,73,6.656259262433884,0.5842470743211421
Greek Super League,0.26005068186254876,0.55,0.14302787502440184,52,0.7111,48.8132,22,36,49,62,73,6.633709849747505,0.4803948427321245
Greek Super League,0.26005068186254876,0.6000000000000001,0.15603040911752927,52,0.6825,49.3517,23,37,49,62,74,6.577745341937337,0.40261516102111633
Greek Super League,0.26005068186254876,0.65,0.1690329432106567,52,0.6471,49.9874,25,37,50,63,73,6.605240658781181,0.30469745221537015
Greek Super League,0.26005068186254876,0.7000000000000001,0.18203547730378414,52,0.6108,50.5658,22,38,51,63,74,6.631626362124202,0.21626670769500392
Greek Super League,0.26005068186254876,0.75,0.19503801139691157,52,0.5805,51.2277,25,38,51,64,74,6.564096392203927,0.11765518875031294
Greek Super League,0.26005068186254876,0.8,0.20804054549003903,52,0.553,51.6126,28,39,52,64,76,6.567894256418594,0.0589838972546499
Greek Super League,0.26005068186254876,0.8500000000000001,0.22104307958316646,52,0.507,52.4404,30,40,52,65,75,6.499236251067099,-0.0677618081551795
Greek Super League,0.26005068186254876,0.9,0.2340456136762939,52,0.4751,52.8237,27,40,53,65,78,6.5901412204998016,-0.12498973427727733
Greek Super League,0.26005068186254876,0.9500000000000001,0.24704814776942133,52,0.4346,53.4351,30,40,54,66,77,6.559625817002514,-0.21877772300368523
Greek Super League,0.26005068186254876,1,0.26005068186254876,52,0.4097,54.0307,28,41,54,67,80,6.567196534064723,-0.309218703820809
Greek Super League,0.26005068186254876,1.05,0.2730532159556762,52,0.373,54.6372,30,42,55,67,77,6.576131135407126,-0.4010260661927527
Greek Super League,0.26005068186254876,1.1,0.2860557500488037,52,0.335,55.2514,30,42,55,68,80,6.514709677661655,-0.4990859394930139
Greek Super League,0.26005068186254876,1.15,0.29905828414193103,52,0.2977,55.8774,31,43,56,68,83,6.4934879516772694,-0.5971213050450749
Italy Serie A,0.15586590002828152,0,0,55,0.5961,53.8035,27,40,54,68,82,7.295780327768861,0.16399890707316633
Italy Serie A,0.15586590002828152,0.05,0.007793295001414076,55,0.5705,54.2069,28,40,54,68,81,7.253009927285398,0.10934770639378376
Italy Serie A,0.15586590002828152,0.1,0.015586590002828152,55,0.5479,54.6482,25,40,55,69,83,7.312618149364825,0.0481086244097888
